EGFR,IGFR,SOS,Ras,PI3K,AKT,Raf,Mek,Erk
39.9916907721713,5.38706270070295,48,48,64,54,38,76,90
34.3672843782487,5.46018136131933,40,47,63,53,36,75,94
33.9927234685468,6.24630089372531,45,46,56,55,32,71,84
36.0357379248648,6.84117328946444,44,47,60,61,40,74,88
36.661031936448,5.97337748375959,54,47,66,58,40,79,91
38.1303840181694,4.73172414786525,48,49,60,64,35,77,90
36.0050041126127,4.7686950079241,45,51,64,62,38,85,91
31.933092565539,5.57228241260188,39,48,59,58,39,80,90
36.9477644746386,6.42833938203285,49,64,71,55,31,72,90
36.0058540098205,4.76813004468496,44,47,65,57,36,78,89
32.9641626237386,5.30708689660038,48,46,63,50,32,75,94
38.6146758554971,4.80297665046699,44,45,62,60,28,77,93
39.9033054354067,6.04770726929246,53,51,64,61,35,70,92
33.9535958474682,4.99290723747832,37,48,63,55,28,78,89
34.941433904292,5.42261204785233,47,48,70,63,30,70,86
39.8598744471681,5.38690903502639,50,48,64,57,33,72,94
33.7234496517039,5.51626486974339,42,40,61,51,31,75,88
40.6192293105858,3.78611524742743,52,49,66,49,34,77,91
37.6741575260321,4.71896077791209,48,47,66,51,43,81,83
36.6279691169212,6.91693299240276,47,45,59,61,29,77,92
35.2118356216782,4.96185429136687,35,37,62,53,34,83,90
39.9187516434324,6.53881256858058,55,46,59,51,34,74,95
37.7845568734834,5.87294444421374,40,53,64,65,32,82,96
37.3290961115987,4.83556478536986,39,38,60,61,23,72,96
30.3415544964984,4.89287645239283,47,49,57,51,29,79,94
37.2446460115613,4.36950224214429,53,48,66,53,36,72,91
38.551753611655,4.71389444768545,46,52,61,57,34,71,87
36.8643980558248,4.60723159977679,44,41,64,64,37,77,90
37.7644993733364,5.12852827397455,43,46,67,59,29,79,91
38.0368880286538,3.94499245285519,46,51,64,52,40,75,93
36.4040346023251,5.16383702153971,41,44,64,49,34,73,83
35.4168391521634,3.82637131935488,40,48,59,63,31,73,90
37.2187083164332,4.94807330531956,51,55,64,58,31,74,87
36.8597597470765,5.32665566499601,52,48,70,58,43,78,90
43.59215718819,4.2276867598054,47,47,62,67,36,76,84
36.7026834926578,5.55758672963417,45,37,57,60,35,80,93
36.5449293043146,6.40037028715898,40,47,58,55,37,73,90
38.8270031644003,5.56956059966641,48,50,61,57,38,75,90
34.7333482344921,5.33287315322467,50,53,65,62,42,76,90
32.598117856262,6.21087000807091,52,46,65,53,30,71,89
31.6769109706998,6.29721016643403,52,49,63,62,33,84,91
40.5828772998011,4.8985004938182,48,45,63,63,29,79,84
38.7088947384113,5.60858811439484,58,48,68,55,25,74,85
37.6393520934869,4.47721202018453,45,49,62,67,32,81,91
37.9824841738187,4.57492837419303,48,47,65,59,31,81,87
32.5583482228342,5.25208607118162,46,58,65,54,43,77,92
42.4337892795624,4.85551593900949,43,50,63,59,30,81,89
36.9749041278802,6.5087929315008,52,60,62,62,38,75,91
39.2675896691648,4.82412969094559,45,49,65,58,39,79,90
34.9780673893558,5.11092221523921,48,59,63,62,29,80,95
30.9255789198309,5.34622087482196,48,51,62,61,37,71,90
38.4406766410641,4.92741325625346,45,57,59,60,36,85,92
45.5773465174329,5.45166481142677,45,56,57,59,37,77,91
35.013576832644,5.93790880097253,38,30,68,50,29,71,92
38.4239299583216,5.69994260044117,49,41,62,59,31,74,80
36.7603927015528,4.11409864622603,46,50,70,58,36,71,83
33.999513684304,4.42576885360673,43,42,58,46,37,77,92
37.0238274163564,6.02687989768368,49,50,62,62,34,74,90
35.4678763784046,5.68969819556412,45,41,64,56,31,72,90
35.3448875223089,7.70339804615012,47,50,59,54,43,71,92
39.9214624359378,5.16416346560037,52,42,59,52,37,69,87
41.1375495864377,4.7836011782134,46,34,67,50,33,73,91
32.4812089571058,6.21014444909462,44,50,63,58,39,78,90
41.3821558118039,3.62313113522234,56,47,67,55,40,85,86
39.0915501996075,3.90993879369464,47,49,66,58,36,79,86
38.5162016565545,3.49072132621356,47,42,65,58,29,75,93
39.085455450335,5.71226067580517,42,41,70,67,42,83,94
40.9480703354926,5.29806707885525,50,48,65,59,38,77,85
36.7754501475567,5.08786166247487,45,47,59,57,44,76,93
36.7946496466895,6.05551993769081,41,45,62,56,31,86,92
35.8638948988202,5.69602997010242,43,41,63,51,36,73,87
36.9058705935327,5.31178100584102,52,49,63,54,43,77,86
34.5632865593495,6.87099713611171,40,45,67,53,42,86,92
36.3955197178405,5.89599934237324,44,47,58,53,33,71,87
35.194740894884,2.73447888889032,48,51,62,65,37,78,93
40.8576802443927,5.38259971040038,49,60,61,63,33,74,93
34.11697689441,4.8787324530762,39,36,49,52,32,77,87
36.1151484107689,5.36188882775658,41,44,60,59,26,71,91
37.9124857949485,4.81319924415094,46,59,69,57,45,74,86
39.8809788548986,5.06141543999939,50,50,61,54,41,66,91
35.0361106322572,5.2176077157112,36,47,59,55,35,82,87
32.0278651567791,5.8587836372865,40,35,56,53,35,69,94
41.4588554984397,4.04839379462618,45,49,61,62,30,75,92
30.9346496688357,5.65108965824953,43,39,57,56,42,80,89
34.5203183369966,5.95467755655854,38,35,57,53,33,72,92
33.8252084708482,5.79381012617106,47,52,63,54,36,75,89
35.9614685437257,5.60211554306112,50,43,65,58,33,74,91
34.5449109684124,5.08622500314675,46,37,66,55,30,76,89
32.9094049535422,5.77335972303,49,54,60,52,34,74,81
39.5497834362202,6.02273046692795,51,54,64,56,30,76,94
36.7798446886544,4.83169745473787,38,46,62,51,37,78,92
37.1973525890754,5.35450155936841,46,54,59,55,41,74,91
34.0932597579948,6.55250291303318,43,51,67,51,43,73,89
36.4418537394416,5.53978314786609,50,44,58,61,38,73,89
37.8058822784124,5.09809367219593,51,51,59,54,42,73,90
36.8150915715996,5.12450111196232,40,47,61,60,35,82,92
34.2644321513542,5.32778150550577,41,49,63,61,36,88,92
41.7333747817097,7.37448552987055,50,48,65,57,29,75,88
33.8290951920423,5.88679998275275,39,53,58,61,33,79,95
35.9867989391328,5.73562113107308,43,47,57,63,32,67,90
35.9212710784789,4.93921839303482,45,54,61,53,31,79,90
37.683871111711,5.96400957796148,40,45,53,58,25,71,92
38.7171290239153,3.98317886898629,48,51,62,53,34,80,87
34.8260695745219,5.84376068106112,43,56,67,58,39,83,92
34.1491479543171,7.11351408075389,50,55,62,58,37,75,88
35.456210197414,5.55526719806308,50,44,54,56,34,82,89
37.2679287158719,4.35534190952367,45,49,63,59,36,82,86
37.1056412948182,4.91012284847053,54,51,64,59,34,79,90
34.1389514815677,3.27684556541668,38,36,59,52,31,71,87
36.8838222786589,4.079538978441,42,43,64,65,35,85,88
39.0913866558821,6.12315898243873,52,40,70,60,31,73,90
39.7933081111937,5.18760938645193,45,53,64,65,32,70,91
33.6247237169909,4.61462753239072,43,55,62,59,32,74,92
42.83108694824,5.17658875048392,52,45,66,61,35,79,94
34.8204953073749,5.26668210702517,42,47,58,52,30,75,92
41.707550542974,3.37003278865189,47,42,59,53,38,80,87
40.7511900670002,6.33207578523982,49,47,74,51,36,73,88
38.2465883339296,4.97182595477081,49,45,62,53,28,73,91
38.8451848871236,5.53601476282378,51,50,64,58,39,83,91
40.3648190121776,5.22467373862906,47,51,66,54,44,85,88
34.9314745378197,6.30167290668298,49,42,62,59,39,67,88
35.3694523594173,4.14632955358591,42,44,64,59,38,80,92
36.9787383220094,5.48012611520241,46,52,64,62,35,85,92
36.7407649688167,6.8871165266145,52,55,66,65,38,72,90
39.8362308181458,3.85065301388962,42,42,70,55,40,79,86
