HSPB1_HUMAN,ENOA_HUMAN,NPM_HUMAN,HS90A_HUMAN,HS90B_HUMAN,ANXA5_HUMAN,H14_HUMAN,CH60_HUMAN,KPYM_HUMAN,ENPL_HUMAN,PGAM1_HUMAN,NUCL_HUMAN,RL13_HUMAN,CALR_HUMAN,S10AB_HUMAN,RBMX_HUMAN,LPPRC_HUMAN,RL28_HUMAN,HNRPM_HUMAN,RS23_HUMAN,TYB10_HUMAN,RS4X_HUMAN,H4_HUMAN,RL23_HUMAN,HNRPU_HUMAN,PSME1_HUMAN,EF1A1_HUMAN,PARK7_HUMAN,BioReplicate
11.1506562996231,,,,11.0439746054752,,11.3536696836899,10.5233566841083,9.83926345625533,10.1252542993736,11.3610031962388,11.52648547653,,9.75721130996606,10.2837336559523,,,,10.8041661400864,11.9334489977138,,,12.1867934605172,,,,10.5498097531025,10.1658325798614,1
,,11.4610783509675,11.2609422101641,10.5238534526819,,11.4185954727328,10.4528703493014,10.0933422136414,,11.690450773189,,12.0637705466303,,10.2821838226608,10.3141383624662,,,10.7782264636606,12.320961335166,,11.2753128215634,12.4533027246871,11.5808421085787,10.8356821494248,10.6372582874508,11.0009827684117,,1
12.263259248496,,11.7465704257765,11.7736301351118,,,,10.6161635262093,,10.7911917872175,11.9758665779241,12.2801772740202,11.4387090481156,10.0238507761067,,10.6573006563998,9.67798700596802,12.2355652303303,10.9304050206406,12.2738540930382,13.4101621998362,,,11.4106976287469,,11.0404074091736,10.585664489198,10.9158114812887,1
,,,11.598621341228,11.2584106925962,9.86984542127064,12.3856358210403,10.8642159043299,10.4645681417035,10.9525664364177,12.2106586910975,12.118262432025,11.9068835338888,,9.78544668077969,,10.09652730807,11.9682083726313,,12.273263715943,12.7067619889038,,12.6976469609987,11.815771089233,11.6699050408101,10.1454735475157,11.4384222624234,10.8752417078677,1
11.0476686308699,,,11.3542353305635,,10.1753465456209,,,10.763429629938,10.8718718523096,11.7212317616341,,11.2496955293672,9.37875787240249,10.3406636934816,,9.72041598980777,,,11.562776079052,,,12.2396921626475,11.1351561330786,,10.1628526890058,10.9423237278577,,1
10.5503697408452,12.6605479447499,13.0309948229635,11.8762362537927,11.386882769175,,12.0765705032714,11.273313990922,11.3137654754081,11.270277525756,11.9119368215904,12.3495365771325,12.2673345514122,,,,10.216435731649,12.1792800541829,10.991655643296,11.7735281228067,12.1405136185214,,12.6195087947192,11.9664717011828,,10.2114736822192,11.7719568800318,,1
11.1100147607193,12.0214380435765,,,11.5678430054586,,,,,,,12.1555882873182,11.858720657743,,9.93392615020402,10.6785875877959,,11.9509907532901,,12.0552866438339,12.0618783493288,11.699246403241,12.4552838610487,,11.3233306039257,9.73543418165738,10.866420715202,,1
9.05365867590353,,,9.0040413302207,,,,,7.38836093688629,,,,,,,9.66424858901866,,,,11.1797833530447,,,,,,,,,1
11.2698807799994,10.9607384195507,11.5859681041564,10.6426643147113,10.278379584976,10.5652234639355,11.6924682388354,9.79067613795576,10.0022696424604,,11.3857341868752,,,9.23732939146161,9.28514713850337,10.052139770093,8.90102091961091,11.651012855058,,,11.5687433347046,11.007694406492,,,10.9197196542644,,11.3684120052514,,1
,,,,,10.6691001458429,,,11.1518176789884,,11.9944112169099,12.3740673633827,,9.72586904195308,,,,11.8316539360011,,,12.697415194571,11.8145062653964,12.5831857643885,,11.5155258584097,,11.2701361138527,,1
11.26582202768,12.1331317740542,,,11.1345521247061,9.62432129751261,12.2335614128394,11.3226905118249,10.4792778891375,10.2865325015175,,12.1784514375085,11.6993349309264,10.7170109327627,10.1963941380489,11.1001879272488,10.0506023381614,11.7646977420644,10.5645176901354,11.7611083013144,12.3076050391366,,,11.8653679787955,10.9165610929099,11.7511349772696,9.55967006900035,11.1365860366671,1
,,12.1573315724085,10.4541607663323,,11.1047285056193,11.0443098606295,10.6934722972717,9.95245440986227,10.204480460065,11.3539921177563,11.4365146909458,11.564514239039,9.18619318958687,10.1729940949585,10.3722897403032,8.9294635041508,,10.4291160524597,10.686679729132,12.1829848952956,10.2923402921383,11.2596395111581,11.1184857514204,,,,,1
10.7092210549463,11.2501871481516,11.9710958636172,10.2927436927686,10.5406271208714,11.2002516695268,,,10.121369842651,,11.4908626553626,,,9.68799276132467,,10.6694952811414,9.21236195625584,,,,11.9975088831506,,,,10.9136080670876,,10.2001320046073,,1
12.4427390251146,,14.0644009994427,12.6283919543663,12.9674148534448,12.530720395187,13.7113848491651,,,12.0101981310559,,13.7834074778449,,,,12.0629021903526,,13.3792308162557,12.2862546832449,,13.8886272379808,12.8952331722937,14.0998983747745,,12.6103008230179,10.9790339836639,,12.0494655139076,1
,11.901396501203,,,10.5299845428493,11.5560345600946,,10.780440194157,10.4377150394875,11.1027218043294,11.8363011835676,11.9765023688195,,,9.94160890508995,10.69035280768,9.79440591895153,,10.9376632410115,11.9068825133796,12.8715116337423,11.8610357850038,,11.6164045215707,11.3924444411355,10.6585414601793,11.4465660326467,,1
